Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Banda ancha fija,Dial up,Total,Accesos por cada 100 hogares
2021,2,Chubut,104,105,89639,22605,16604,3896,1112,5172,138412,825,139237,72.29
2021,2,Córdoba,99,2452,201757,136516,66950,70824,442357,9925,930818,62,930880,80.12
2021,2,Corrientes,67,645,29419,27037,24524,10059,32697,5053,129498,3,129501,43.54
2021,2,Entre Ríos,107,3024,63518,55349,39468,18484,61605,16077,257617,15,257632,61.66
2021,2,Formosa,381,0,22364,7310,7460,1341,11077,1618,51551,0,51551,33.23
2021,2,Jujuy,48,175,24182,16577,37908,607,29950,2401,111848,0,111848,56.18
2021,2,La Pampa,298,554,64146,7769,8128,3399,9311,4062,97551,116,97667,82.08
2021,2,La Rioja,18,1,5312,5971,23298,4825,42158,19,81599,3,81602,76.98
2021,2,Mendoza,36,31,137462,10886,56117,4403,20686,50,229052,619,229671,40.97
2021,2,Misiones,51,5,41643,25907,25811,16172,38308,8279,156176,0,156176,45.01
2021,2,Neuquén,112,327,57713,8631,5871,5943,54008,5645,137877,373,138250,69.14
2021,2,Río Negro,125,557,69356,3663,15019,3867,31488,20009,143583,501,144084,61.94
2021,2,Salta,101,20,42543,67012,7099,9654,58882,6328,191637,2,191639,54.93
2021,2,San Juan,18,333,59989,784,12550,340,278,4641,78677,256,78933,39.28
2021,2,San Luis,60,0,11752,2703,5418,65946,22,36917,122670,148,122818,83.48
2021,2,Santa Cruz,50,0,30595,8463,6888,1575,676,735,48785,197,48982,44.01
2021,2,Santa Fe,467,896,202018,204077,80452,75195,262124,15371,840449,151,840600,75.07
2021,2,Santiago Del Estero,123,909,32034,62224,10359,811,6064,1566,114089,1,114090,46.56
2021,2,Tierra Del Fuego,17,0,21335,6913,4580,476,889,1483,35404,289,35693,67.89
2021,2,Tucumán,32,97,40224,51648,23732,5022,109616,2680,233026,25,233051,54.93
2021,1,Buenos Aires,36939,31187,1108368,240520,163747,222061,2246313,10867,4054936,5066,4060002,69.11
2021,1,Capital Federal,135,244,159662,76753,56457,83255,1003041,126,1378283,1390,1379673,108.42
2021,1,Catamarca,71,0,7423,8455,10115,712,22996,2196,51967,1,51968,48.9
2021,1,Chaco,301,112,24357,22102,27556,14496,42462,8384,139767,3,139770,43.14
2021,1,Chubut,106,109,86986,21401,15392,2844,1112,4390,131515,825,132340,68.99
2021,1,Córdoba,93,2386,211799,135092,74659,71984,402191,12677,910826,55,910881,78.59
2021,1,Corrientes,67,527,31544,26223,26169,9001,27641,5453,126622,3,126625,42.66
2021,1,Entre Ríos,105,2911,67255,56060,42432,15774,54600,12826,251950,13,251963,60.44
2021,1,Formosa,56,0,22409,7569,7916,1215,9579,1942,50686,0,50686,32.73
2021,1,Jujuy,49,175,23735,17293,40649,568,25609,2378,110456,0,110456,55.63
2021,1,La Pampa,298,554,68200,7864,7611,2786,7368,2424,96989,116,97105,81.78
2021,1,La Rioja,18,1,36749,5968,4604,215,5074,-1,52625,3,52628,49.81
2021,1,Mendoza,28,40,134386,11216,52533,4061,16615,44,218308,615,218923,39.15
2021,1,Misiones,51,524,40949,25503,27101,14050,32953,8256,149387,0,149387,43.17
2021,1,Neuquén,116,327,56171,8443,5903,5677,50840,5758,132862,373,133235,66.84
